,location,total_sqft,bath,price,bhk,encoded_loc
2814,Panathur,1370.0,2.0,54.8,3,165
2815,Yelahanka,1036.0,2.0,39.37,2,207
2816,JP Nagar,1275.0,3.0,41.2,3,97
2817,Thanisandra,1265.0,2.0,46.6,2,191
2818,Anandapura,1576.0,3.0,58.0,3,13
2819,Dodda Nekkundi,1148.0,2.0,56.0,2,59
2820,others,1000.0,2.0,36.0,2,211
2821,Vidyaranyapura,1440.0,2.0,70.0,3,200
2822,Ramamurthy Nagar,1300.0,2.0,52.0,3,172
2823,Sompura,1126.0,2.0,39.0,2,185
2824,Whitefield,1301.0,2.0,65.0,2,205
2825,Devanahalli,658.0,1.0,34.0,1,58
2826,1st Phase JP Nagar,1590.0,1.0,63.0,1,1
2827,Chandapura,1208.51,3.0,42.0,3,49
2828,Raja Rajeshwari Nagar,1133.0,2.0,38.41,2,169
2829,others,1145.0,2.0,57.0,2,211
2830,Bannerghatta Road,1930.0,2.0,67.73,2,32
2831,others,4967.5,5.0,268.5,4,211
2832,Dasarahalli,1300.0,2.0,50.0,2,57
2833,Jakkur,1622.0,2.0,80.0,3,98
2834,Kanakpura Road,1843.0,3.0,85.0,3,115
2835,Malleshpalya,1430.0,2.0,69.5,3,145
2836,Begur Road,1565.0,2.0,57.91,3,36
2837,others,1410.0,2.0,75.0,2,211
2838,Kengeri Satellite Town,1060.0,2.0,42.0,2,124
2839,Sarjapur  Road,1120.0,2.0,50.0,2,177
2840,Dodda Nekkundi,1435.0,3.0,57.2,3,59
2841,Doddakallasandra,1425.0,2.0,56.99,3,61
2842,Arekere,900.0,2.0,50.0,2,18
2843,others,2400.0,5.0,93.0,5,211
2844,Electronic City,2435.0,4.0,119.0,4,65
2845,Mahadevpura,1532.0,2.0,62.0,2,143
2846,Sarjapur  Road,1530.0,2.0,60.0,3,177
2847,Kasavanhalli,1105.0,2.0,42.0,2,118
2848,Brookefield,1595.0,2.0,75.0,3,46
2849,7th Phase JP Nagar,1000.0,2.0,53.0,2,5
2850,Uttarahalli,1737.0,2.0,95.0,3,197
2851,BTM Layout,1776.0,2.0,75.0,3,21
2852,Whitefield,1330.0,2.0,55.0,3,205
2853,Gubbalala,1008.0,2.0,32.25,2,74
2854,others,1200.0,2.0,52.5,2,211
2855,Yelahanka,602.0,1.0,26.0,1,207
2856,JP Nagar,1500.0,2.0,82.0,3,97
2857,others,1539.0,3.0,60.0,3,211
2858,Judicial Layout,1100.0,2.0,53.0,3,102
2859,Raja Rajeshwari Nagar,1151.0,2.0,49.0,2,169
2860,others,920.0,2.0,46.0,2,211
2861,Bannerghatta Road,1200.0,2.0,65.0,2,32
2862,Sarjapur  Road,1700.0,3.0,93.5,3,177
2863,Sarjapur  Road,1403.0,3.0,56.0,3,177
2864,Kanakpura Road,1628.0,2.0,68.0,2,115
2865,Doddathoguru,1595.0,3.0,62.0,3,62
2866,others,905.0,2.0,50.0,2,211
2867,Yelahanka,1100.0,2.0,60.0,2,207
2868,Vishveshwarya Layout,2100.0,6.0,92.0,6,202
2869,Electronics City Phase 1,995.0,2.0,49.8,2,67
2870,Gottigere,1425.0,2.0,47.0,3,72
2871,others,1455.0,2.0,55.0,3,211
2872,others,550.0,1.0,23.0,1,211
2873,Vishveshwarya Layout,7000.0,4.0,210.0,4,202
2874,others,4000.0,3.0,130.0,5,211
2875,others,1060.0,2.0,53.0,2,211
2876,Sarjapur  Road,1060.0,2.0,55.0,2,177
2877,Raja Rajeshwari Nagar,1267.0,2.0,54.35,2,169
2878,Whitefield,1155.0,2.0,55.0,2,205
2879,Bannerghatta Road,1240.0,2.0,65.0,2,32
2880,others,1570.0,3.0,78.0,3,211
2881,NGR Layout,1019.0,2.0,45.9,2,152
2882,Whitefield,4075.0,5.0,226.0,4,205
2883,Raja Rajeshwari Nagar,1550.0,3.0,52.45,3,169
2884,Raja Rajeshwari Nagar,1100.0,2.0,50.0,2,169
2885,9th Phase JP Nagar,1466.0,2.0,71.0,2,7
2886,Rachenahalli,1550.0,3.0,72.5,3,168
2887,Akshaya Nagar,2300.0,4.0,102.0,3,10
2888,Kengeri,540.0,1.0,22.5,1,123
2889,others,1020.0,2.0,48.0,2,211
2890,Electronic City,1125.0,2.0,32.5,2,65
2891,Horamavu Banaswadi,1225.0,2.0,49.5,2,88
2892,Hennur,1255.0,2.0,55.5,2,84
2893,Electronic City,1165.0,2.0,33.64,2,65
2894,others,865.0,2.0,35.11,2,211
2895,Nagarbhavi,1850.0,2.0,88.0,3,154
2896,Magadi Road,600.0,1.0,22.0,2,142
2897,Electronic City,919.0,2.0,34.0,2,65
2898,others,2100.0,4.0,90.0,4,211
2899,others,1000.0,2.0,42.0,2,211
2900,others,1225.0,2.0,47.0,2,211
2901,Panathur,1597.0,3.0,67.12,3,165
2902,Varthur Road,1247.0,2.0,58.0,3,199
2903,Bellandur,1201.0,2.0,59.99,2,37
2904,others,830.0,2.0,40.0,2,211
2905,Bommanahalli,1100.0,1.0,55.0,2,43
2906,9th Phase JP Nagar,1890.0,2.0,93.0,3,7
2907,others,1685.0,3.0,60.0,3,211
2908,Battarahalli,1165.0,2.0,43.0,2,34
2909,others,827.0,2.0,45.0,2,211
2910,Electronics City Phase 1,635.0,1.0,26.0,1,67
2911,others,1050.0,2.0,50.0,2,211
2912,Yelenahalli,1500.0,2.0,57.0,3,209
2913,Raja Rajeshwari Nagar,1751.0,3.0,72.0,3,169
2914,Bommasandra,1020.0,2.0,40.89,2,44
2915,Thanisandra,1148.0,2.0,43.5,2,191
2916,others,1060.0,2.0,49.27,2,211
2917,Haralur Road,1300.0,2.0,60.0,2,79
2918,Hormavu,3000.0,4.0,100.0,4,89
2919,Bellandur,1325.0,2.0,65.0,2,37
2920,others,1261.0,2.0,61.0,2,211
2921,others,1100.0,2.0,46.0,2,211
2922,Ramamurthy Nagar,700.0,2.0,33.0,2,172
2923,others,1180.0,2.0,56.0,2,211
2924,Uttarahalli,1160.0,2.0,45.0,2,197
2925,BTM Layout,1458.0,3.0,79.0,3,21
2926,Babusapalaya,1105.0,2.0,40.0,2,22
2927,Akshaya Nagar,1662.0,3.0,90.0,3,10
2928,Yelahanka,1556.0,3.0,86.0,3,207
2929,Jigani,918.0,2.0,50.0,2,101
2930,others,1194.0,2.0,65.0,2,211
2931,Bannerghatta Road,1100.0,2.0,52.0,3,32
2932,Sarjapur  Road,1405.0,3.0,48.87,3,177
2933,8th Phase JP Nagar,2100.0,4.0,92.0,4,6
2934,Channasandra,1065.0,2.0,40.47,2,50
2935,Bannerghatta Road,2215.0,3.0,84.29,3,32
2936,Hormavu,1093.0,2.0,32.78,2,89
2937,Anandapura,1250.0,2.0,45.0,2,13
2938,Nagarbhavi,1146.0,2.0,50.0,2,154
2939,others,1250.0,2.0,58.0,2,211
2940,Ramagondanahalli,1451.0,3.0,60.44,3,171
2941,others,1424.0,2.0,55.0,3,211
2942,Gottigere,1435.0,2.0,62.0,3,72
2943,Devanahalli,658.0,1.0,26.91,1,58
2944,Bommanahalli,1300.0,3.0,45.0,3,43
2945,Whitefield,1242.0,2.0,65.0,2,205
2946,Yelahanka,1610.0,4.0,85.0,3,207
2947,Yelahanka,1075.0,2.0,42.0,3,207
2948,Mysore Road,1155.0,2.0,51.0,2,151
2949,others,1250.0,3.0,55.0,3,211
2950,Chandapura,876.0,2.0,29.5,2,49
2951,Nagarbhavi,1850.0,2.0,89.0,3,154
2952,Electronic City Phase II,5300.0,2.0,167.5,4,66
2953,others,1230.0,2.0,55.0,2,211
2954,Bommasandra,920.0,2.0,37.2,2,44
2955,others,1540.0,3.0,76.0,3,211
2956,Kanakpura Road,1550.0,3.0,63.5,3,115
2957,Kalyan nagar,1198.0,2.0,65.0,2,110
2958,HBR Layout,1656.0,3.0,90.0,3,76
2959,Mysore Road,1003.0,2.0,43.0,2,151
2960,others,1590.0,2.0,48.0,2,211
2961,Whitefield,1495.0,2.0,67.0,3,205
2962,Thanisandra,2172.0,3.0,76.02,3,191
2963,Whitefield,1548.0,3.0,65.0,3,205
2964,Whitefield,4271.0,5.0,154.5,4,205
2965,Electronic City Phase II,1031.0,2.0,53.0,2,66
2966,others,1060.0,2.0,37.0,2,211
2967,others,1100.0,2.0,61.0,2,211
2968,Seegehalli,1420.0,2.0,46.0,3,180
2969,Sarjapur  Road,950.0,1.0,39.9,1,177
2970,8th Phase JP Nagar,1035.0,2.0,39.33,2,6
2971,Sarjapur  Road,2600.0,4.0,98.0,4,177
2972,Kasavanhalli,1667.0,3.0,92.0,3,118
2973,JP Nagar,1590.0,3.0,69.34,3,97
2974,Mahadevpura,1620.0,2.0,76.0,3,143
2975,Electronic City,1070.0,2.0,47.0,2,65
2976,Hosur Road,3600.0,5.0,180.0,5,93
2977,Uttarahalli,1280.0,2.0,60.0,3,197
2978,others,1400.0,2.0,60.0,2,211
2979,others,1330.0,2.0,64.0,2,211
2980,Electronic City Phase II,1611.0,2.0,48.33,3,66
2981,Whitefield,1405.0,3.0,58.0,3,205
2982,Kaggadasapura,1710.0,3.0,60.0,3,106
2983,BTM Layout,935.0,2.0,51.5,2,21
2984,Yeshwanthpur,1678.0,3.0,92.13,3,210
2985,Magadi Road,1191.0,2.0,55.38,3,142
2986,CV Raman Nagar,1525.0,2.0,67.0,3,48
2987,Seegehalli,920.0,2.0,27.0,2,180
2988,Chikkabanavar,600.0,1.0,25.0,2,52
2989,Thanisandra,1185.0,2.0,44.0,2,191
2990,Whitefield,4271.0,5.0,158.5,4,205
2991,Whitefield,1355.0,2.0,73.0,2,205
2992,KR Puram,1200.0,1.0,65.0,2,103
2993,Yelahanka New Town,500.0,2.0,24.0,1,208
2994,Bommasandra Industrial Area,1250.0,3.0,50.0,3,45
2995,Uttarahalli,1480.0,2.0,58.0,3,197
2996,KR Puram,2324.0,2.0,70.445,3,103
2997,others,1206.0,2.0,53.0,2,211
2998,Hosakerehalli,925.0,2.0,46.5,2,91
2999,8th Phase JP Nagar,909.0,2.0,40.9,2,6
3000,Brookefield,1100.0,2.0,55.0,2,46
3001,Raja Rajeshwari Nagar,1306.0,2.0,44.17,2,169
3002,Yelahanka,1484.0,2.0,56.4,3,207
3003,Ramamurthy Nagar,1125.0,2.0,47.0,2,172
3004,Whitefield,2882.0,5.0,158.0,4,205
3005,Kundalahalli,2075.0,3.0,115.0,3,137
3006,others,1250.0,2.0,58.0,2,211
3007,Horamavu Banaswadi,1272.0,2.0,51.5,2,88
3008,others,625.0,2.0,24.0,2,211
3009,Rayasandra,583.0,1.0,26.9,1,173
3010,others,900.0,2.0,27.0,2,211
3011,Kanakapura,2200.0,3.0,121.0,3,114
3012,Marathahalli,1600.0,3.0,58.0,3,146
3013,Chikkalasandra,1365.0,2.0,49.0,3,53
3014,others,1300.0,3.0,64.0,3,211
3015,Electronics City Phase 1,1190.0,2.0,33.92,2,67
3016,Vishwapriya Layout,1250.0,3.0,38.0,3,203
3017,Kaggadasapura,1500.0,3.0,75.0,3,106
3018,Banashankari Stage V,1510.0,3.0,47.57,3,27
3019,7th Phase JP Nagar,1187.0,2.0,59.0,2,5
3020,Kundalahalli,1120.0,2.0,53.76,2,137
3021,others,2099.0,3.0,95.0,3,211
3022,Kasturi Nagar,1100.0,2.0,58.0,2,119
3023,others,1200.0,1.0,48.0,1,211
3024,Bannerghatta Road,1465.0,2.0,45.87,3,32
3025,Kothanur,1500.0,1.0,75.0,1,133
3026,Electronic City Phase II,1065.0,2.0,30.88,2,66
3027,Sultan Palaya,1765.0,3.0,80.0,3,188
3028,Kaggadasapura,1215.0,2.0,43.0,2,106
3029,Lakshminarayana Pura,1300.0,2.0,70.0,2,140
3030,Whitefield,1105.0,2.0,39.99,2,205
3031,Banashankari,1186.0,2.0,65.0,2,24
3032,Kengeri,750.0,2.0,35.5,2,123
3033,others,1430.0,2.0,78.65,3,211
3034,others,2108.0,3.0,85.0,3,211
3035,Electronic City Phase II,1220.0,3.0,36.6,3,66
3036,Rayasandra,1198.0,2.0,54.0,2,173
3037,others,900.0,2.0,41.0,2,211
3038,Kanakapura,1340.0,2.0,65.0,2,114
3039,Yelahanka,1260.0,2.0,59.2,2,207
3040,JP Nagar,820.0,2.0,45.0,2,97
3041,Electronic City,1296.0,2.0,65.0,2,65
3042,Uttarahalli,1190.0,2.0,53.55,2,197
3043,Sarjapura - Attibele Road,1800.0,3.0,90.0,3,178
3044,Yelahanka,1102.0,2.0,52.0,2,207
3045,Sarjapur,913.0,2.0,36.0,2,176
3046,Hormavu,1176.0,2.0,35.27,3,89
3047,Prithvi Layout,1620.0,3.0,65.0,3,166
3048,Yelahanka,1519.0,2.0,65.0,2,207
3049,others,1250.0,2.0,68.0,2,211
3050,others,1150.0,2.0,48.0,2,211
3051,Anekal,1200.0,2.0,36.0,4,15
3052,Gollarapalya Hosahalli,861.0,2.0,36.5,2,71
3053,others,1065.0,2.0,45.0,2,211
3054,Vittasandra,1238.0,2.0,67.32,2,204
3055,Dasanapura,814.0,2.0,42.0,2,56
3056,Dodda Nekkundi,1145.0,2.0,46.5,2,59
3057,Varthur,965.0,2.0,34.0,2,198
3058,others,750.0,2.0,36.0,2,211
3059,Banashankari,1300.0,2.0,55.0,3,24
3060,Whitefield,982.0,2.0,37.0,2,205
3061,Rayasandra,1555.0,3.0,75.17,3,173
3062,Kaggadasapura,1225.0,2.0,48.0,2,106
3063,Electronics City Phase 1,1085.0,2.0,46.0,2,67
3064,Raja Rajeshwari Nagar,1196.0,2.0,40.44,2,169
3065,9th Phase JP Nagar,1079.0,2.0,60.0,2,7
3066,Whitefield,1118.0,2.0,42.0,2,205
3067,CV Raman Nagar,1198.0,2.0,60.0,2,48
3068,Banashankari Stage VI,1160.0,2.0,59.0,2,28
3069,Kannamangala,957.0,2.0,52.5,2,116
3070,Bannerghatta Road,1268.0,2.0,69.0,2,32
3071,others,1600.0,2.0,75.0,3,211
3072,Uttarahalli,1330.0,2.0,57.0,3,197
3073,Jakkur,1355.0,2.0,65.0,3,98
3074,others,1100.0,2.0,38.49,2,211
3075,Chikkalasandra,1075.0,2.0,46.76,2,53
3076,others,900.0,1.0,44.0,2,211
3077,Haralur Road,1140.0,2.0,42.0,2,79
3078,Padmanabhanagar,1710.0,2.0,90.63,3,163
3079,others,3800.0,2.0,130.0,3,211
3080,Electronic City Phase II,1549.0,3.0,80.0,3,66
3081,Marathahalli,700.0,1.0,38.0,1,146
3082,Electronic City Phase II,1065.0,2.0,56.13,2,66
3083,Pai Layout,1400.0,2.0,57.5,2,164
3084,Haralur Road,1245.0,2.0,62.0,2,79
3085,Vidyaranyapura,1000.0,2.0,35.0,2,200
3086,Panathur,2362.5,3.0,71.89,3,165
3087,Subramanyapura,1800.0,3.0,90.0,3,187
3088,Kothannur,1275.0,3.0,44.0,3,132
3089,Kasavanhalli,1494.0,3.0,82.0,3,118
3090,BTM Layout,1020.0,2.0,46.5,2,21
3091,Mysore Road,883.0,2.0,45.0,2,151
3092,6th Phase JP Nagar,1213.0,2.0,63.0,2,4
3093,Hegde Nagar,1835.0,3.0,88.0,3,83
3094,Gottigere,945.0,2.0,45.0,2,72
3095,Hoodi,1240.0,2.0,43.94,2,86
3096,Electronics City Phase 1,1450.0,3.0,72.54,3,67
3097,5th Phase JP Nagar,1000.0,2.0,48.0,2,3
3098,Choodasandra,1215.0,2.0,59.0,2,54
3099,Yelachenahalli,1330.0,3.0,73.5,3,206
3100,others,2040.0,2.0,59.0,2,211
3101,Bellandur,2000.0,3.0,85.0,3,37
3102,Jigani,1200.0,3.0,65.0,3,101
3103,others,1500.0,3.0,72.0,3,211
3104,Kanakpura Road,1737.0,3.0,85.0,3,115
3105,others,1280.0,2.0,48.0,3,211
3106,CV Raman Nagar,1560.0,2.0,85.0,2,48
3107,Kambipura,883.0,2.0,44.0,2,111
3108,Kengeri Satellite Town,750.0,2.0,33.0,2,124
3109,others,900.0,2.0,45.0,2,211
3110,Hormavu,1030.0,2.0,49.35,2,89
3111,others,1095.0,2.0,38.33,2,211
3112,Budigere,1820.0,3.0,85.4,3,47
3113,Bisuvanahalli,1075.0,2.0,41.0,3,42
3114,TC Palaya,1500.0,3.0,83.0,3,189
3115,Electronics City Phase 1,360.0,1.0,16.9,1,67
3116,Kadugodi,1345.0,1.0,40.7,1,105
3117,others,1145.0,2.0,58.4,2,211
3118, Devarachikkanahalli,947.0,2.0,43.0,2,0
3119,Kalena Agrahara,1120.0,2.0,40.0,2,109
3120,Kaggadasapura,1805.0,2.0,75.0,3,106
3121,Uttarahalli,1560.0,3.0,74.0,3,197
3122,Electronics City Phase 1,638.0,1.0,32.0,1,67
3123,Chandapura,937.0,2.0,30.0,2,49
3124,Whitefield,1100.0,2.0,37.0,2,205
3125,Thigalarapalya,1000.0,2.0,48.53,2,192
3126,Horamavu Agara,1060.0,2.0,37.0,2,87
3127,Akshaya Nagar,1420.0,2.0,75.0,3,10
3128,Sarjapur  Road,1539.0,3.0,85.0,3,177
3129,others,1550.0,3.0,59.0,3,211
3130,Kasavanhalli,1555.0,3.0,82.0,3,118
3131,Seegehalli,1553.0,3.0,68.0,3,180
3132,Uttarahalli,1250.0,2.0,50.0,3,197
3133,Sanjay nagar,1450.0,3.0,75.0,3,175
3134,Haralur Road,1140.0,2.0,58.0,2,79
3135,others,550.0,1.0,16.0,1,211
3136,Bannerghatta Road,1450.0,3.0,44.0,3,32
3137,Kanakpura Road,700.0,2.0,35.07,2,115
3138,Whitefield,1200.0,3.0,56.0,3,205
3139,Yelahanka,1050.0,2.0,45.0,2,207
3140,Somasundara Palya,1600.0,3.0,69.0,3,184
3141,Bannerghatta Road,1625.0,2.0,75.0,3,32
3142,others,1492.0,2.0,65.0,2,211
3143,Whitefield,4271.0,5.0,157.5,4,205
3144,Sarjapur  Road,1489.0,2.0,82.0,3,177
3145,Kanakapura,1560.0,2.0,62.38,3,114
3146,others,1431.0,3.0,65.0,3,211
3147,Sarjapur  Road,1550.0,2.0,69.75,3,177
3148,Kodichikkanahalli,1026.0,2.0,45.0,2,126
3149,Hennur,1260.0,2.0,52.0,3,84
3150,Attibele,2400.0,3.0,120.0,3,19
3151,Sarjapur  Road,1186.0,2.0,40.0,3,177
3152,Thanisandra,1039.0,2.0,39.5,2,191
3153,Brookefield,1225.0,2.0,66.5,2,46
3154,Bommanahalli,1350.0,2.0,72.0,2,43
3155,Whitefield,1550.0,2.0,49.6,3,205
3156,Hoodi,1490.0,3.0,79.0,3,86
3157,others,1391.0,2.0,64.5,3,211
3158,Rachenahalli,1200.0,2.0,50.0,2,168
3159,Thubarahalli,1200.0,2.0,47.0,2,193
3160,Mysore Road,1170.0,2.0,65.0,2,151
3161,NRI Layout,1125.0,2.0,45.56,2,153
3162,Yelahanka,1075.0,2.0,36.0,3,207
3163,Whitefield,1435.0,3.0,45.0,3,205
3164,Electronics City Phase 1,1175.0,2.0,64.98,2,67
3165,others,900.0,2.0,33.0,2,211
3166,Electronics City Phase 1,585.0,1.0,21.0,1,67
3167,Thanisandra,1220.0,2.0,42.0,2,191
3168,NGR Layout,907.0,1.0,38.0,1,152
3169,5th Phase JP Nagar,1350.0,2.0,75.0,3,3
3170,Kenchenahalli,1150.0,2.0,58.0,2,122
3171,Sarjapur,1404.0,2.0,53.35,3,176
3172,OMBR Layout,1050.0,2.0,48.0,2,160
3173,Yelahanka,1285.0,2.0,56.0,2,207
3174,Hormavu,1018.0,2.0,50.8,2,89
3175,Hoskote,1200.0,3.0,57.0,3,92
3176,9th Phase JP Nagar,1480.0,2.0,80.0,2,7
3177,Kaval Byrasandra,480.0,1.0,25.0,1,121
3178,Akshaya Nagar,1435.0,3.0,53.0,3,10
3179,others,600.0,2.0,23.0,1,211
3180,CV Raman Nagar,1590.0,2.0,85.0,3,48
3181,Nagavara,936.0,2.0,40.2,2,156
3182,Kengeri,1741.0,3.0,80.0,3,123
3183,Varthur Road,1050.0,2.0,42.7,2,199
3184,Sector 2 HSR Layout,1600.0,3.0,70.0,3,179
3185,Varthur,1120.0,2.0,44.24,2,198
3186,others,1200.0,2.0,35.0,2,211
3187,Electronic City Phase II,1140.0,2.0,33.84,2,66
3188,Electronic City,1200.0,2.0,34.65,2,65
3189,Kudlu Gate,1185.0,2.0,50.0,2,135
3190,Rayasandra,1458.0,3.0,60.0,3,173
3191,Hormavu,1555.0,3.0,75.0,3,89
3192,others,1200.0,2.0,45.0,2,211
3193,Sarjapur  Road,1308.0,2.0,58.86,2,177
3194,Kudlu,1024.0,2.0,44.0,2,134
3195,Kanakapura,1450.0,3.0,75.0,3,114
3196,others,995.0,2.0,34.82,3,211
3197,Electronic City,1096.0,2.0,40.55,2,65
3198,Horamavu Agara,1107.83,2.0,41.51,2,87
3199,8th Phase JP Nagar,2135.5,3.0,72.02,3,6
3200,GM Palaya,1315.0,2.0,65.0,3,69
3201,others,1000.0,2.0,44.0,2,211
3202,Hosakerehalli,1596.0,3.0,79.8,3,91
3203,Old Madras Road,1350.0,3.0,47.25,3,162
3204,Talaghattapura,921.0,2.0,29.47,2,190
3205,others,1200.0,2.0,43.0,2,211
3206,8th Phase JP Nagar,1900.0,4.0,90.0,3,6
3207,Kudlu Gate,1664.0,3.0,68.0,3,135
3208,Kereguddadahalli,600.0,1.0,19.5,1,125
3209,Hoodi,1240.0,2.0,65.0,2,86
3210,Electronics City Phase 1,1200.0,2.0,59.76,2,67
3211,Rachenahalli,1050.0,2.0,47.25,2,168
3212,Marathahalli,1385.0,2.0,68.5,3,146
3213,others,990.0,2.0,35.0,2,211
3214,Yelahanka,845.0,2.0,43.0,2,207
3215,Kanakapura,1460.0,2.0,43.79,3,114
3216,Thanisandra,1450.0,2.0,57.0,2,191
3217,HSR Layout,1360.0,2.0,53.0,3,78
3218,Singasandra,1375.0,2.0,58.0,2,183
3219,Uttarahalli,1125.0,2.0,48.0,2,197
3220,others,1107.0,2.0,40.0,2,211
3221,Yelachenahalli,800.0,1.0,30.0,2,206
3222,TC Palaya,1350.0,3.0,60.0,3,189
3223,others,1125.0,2.0,32.49,2,211
3224,Hulimavu,1200.0,2.0,50.0,2,94
3225,others,1266.67,2.0,69.0,2,211
3226,others,1300.0,3.0,64.0,3,211
3227,Mysore Road,1500.5,2.0,50.855,2,151
3228,Raja Rajeshwari Nagar,1128.0,2.0,40.0,2,169
3229,Raja Rajeshwari Nagar,1151.0,2.0,39.0,2,169
3230,Sarjapur  Road,920.0,2.0,40.0,2,177
3231,Munnekollal,1750.0,3.0,86.5,3,149
3232,others,1800.0,3.0,95.0,3,211
3233,CV Raman Nagar,1100.0,2.0,58.0,2,48
3234,R.T. Nagar,1200.0,2.0,60.0,2,167
3235,others,1410.0,3.0,65.0,3,211
3236,Begur Road,1933.0,3.0,98.0,3,36
3237,Begur Road,1200.0,2.0,45.6,2,36
3238,Whitefield,1608.0,2.0,63.0,3,205
3239,Horamavu Banaswadi,1156.0,2.0,46.9,2,88
3240,others,1080.0,2.0,44.8,2,211
3241,Hulimavu,1450.0,3.0,72.0,3,94
3242,Kothanur,1075.0,2.0,53.0,2,133
3243,Sarjapur  Road,1163.0,2.0,62.0,3,177
3244,JP Nagar,3070.0,2.0,152.0,3,97
3245,KR Puram,1140.0,2.0,43.32,2,103
3246,Electronic City,1110.0,2.0,39.95,2,65
3247,HBR Layout,1089.0,2.0,60.0,2,76
3248,others,880.0,2.0,48.0,2,211
3249,Kereguddadahalli,1080.0,2.0,32.0,2,125
3250,Banashankari Stage III,1480.0,3.0,75.48,3,26
3251,Hebbal,1200.0,2.0,60.0,2,81
3252,Talaghattapura,1257.0,2.0,40.22,3,190
3253,others,1150.0,2.0,45.0,2,211
3254,others,1194.0,2.0,55.0,2,211
3255,others,2000.0,3.0,90.0,3,211
3256,others,1025.0,2.0,42.5,2,211
3257,Horamavu Agara,980.0,2.0,38.19,2,87
3258,others,1153.0,2.0,45.0,2,211
3259,Pai Layout,1175.0,2.0,60.0,2,164
3260,Vidyaranyapura,1560.0,3.0,68.0,3,200
3261,Billekahalli,1350.0,3.0,55.0,2,40
3262,others,1200.0,1.0,54.0,2,211
3263,Chandapura,800.0,2.0,25.0,2,49
3264,Electronic City,2093.0,4.0,104.0,4,65
3265,Begur Road,1215.0,2.0,43.13,2,36
3266,Begur Road,1444.0,2.0,71.5,3,36
3267,others,950.0,2.0,38.0,2,211
3268,Banashankari Stage II,1240.0,2.0,59.52,3,25
3269,Hennur,1231.0,2.0,50.0,2,84
3270,Sarjapur  Road,3004.0,4.0,158.0,3,177
3271,Sonnenahalli,1310.0,2.0,46.0,3,186
3272,Yelahanka,1180.0,2.0,56.0,2,207
3273,Uttarahalli,1255.0,2.0,50.19,3,197
3274,Electronic City,1025.0,2.0,53.9,2,65
3275,Hennur,2500.0,5.0,125.0,5,84
3276,others,1012.0,2.0,42.0,2,211
3277,Chandapura,1200.0,2.0,65.0,2,49
3278,Sarjapur  Road,1115.0,2.0,43.0,2,177
3279,Shampura,1700.0,3.0,75.0,3,181
3280,Kanakapura,1090.0,2.0,38.15,2,114
3281,Anekal,766.0,2.0,28.0,2,15
3282,Kanakpura Road,525.0,1.0,27.0,1,115
3283,Choodasandra,1254.0,2.0,65.0,3,54
3284,others,3600.0,5.0,110.0,5,211
3285,Raja Rajeshwari Nagar,1375.0,2.0,54.99,3,169
3286,Ardendale,1650.0,3.0,82.0,3,17
3287,Thanisandra,1430.0,2.0,51.48,3,191
3288,Electronic City,435.0,1.0,21.0,1,65
3289,Begur Road,1160.0,2.0,36.54,2,36
3290,Electronic City,1500.0,2.0,77.5,3,65
3291,Koramangala,1890.0,2.0,100.0,3,131
3292,Haralur Road,1027.0,2.0,43.0,2,79
3293,Yelahanka,1711.0,3.0,85.61,3,207
3294,Ramamurthy Nagar,1334.0,2.0,67.0,2,172
3295,others,1140.0,2.0,32.92,2,211
3296,Kengeri Satellite Town,920.0,2.0,39.0,2,124
3297,Electronic City,1631.0,3.0,80.0,3,65
3298,Kanakpura Road,525.0,1.0,27.5,1,115
3299,others,2000.0,3.0,105.0,3,211
3300,Hennur Road,1232.0,2.0,66.0,2,85
3301,others,1075.0,2.0,55.0,2,211
3302,Rayasandra,1179.0,2.0,55.0,3,173
3303,Kodigehaali,1013.0,2.0,51.0,2,127
3304,Uttarahalli,1160.0,2.0,40.6,2,197
3305,7th Phase JP Nagar,1200.0,2.0,62.5,2,5
3306,Marathahalli,1065.0,2.0,55.0,2,146
3307,Lakshminarayana Pura,1395.0,2.0,75.0,2,140
3308,others,1007.0,2.0,43.0,2,211
3309,Kengeri,1436.0,2.0,55.0,3,123
3310,others,4250.0,6.0,150.0,6,211
3311,Kengeri,1200.0,2.0,58.0,2,123
3312,Mysore Road,940.0,2.0,43.61,2,151
3313,KR Puram,4300.0,6.0,175.0,6,103
3314,Gunjur,2132.0,3.0,80.0,3,75
3315,others,1280.0,2.0,49.0,3,211
3316,Thanisandra,1370.0,2.0,61.0,3,191
3317,others,925.0,2.0,35.0,2,211
3318,TC Palaya,1500.0,2.0,75.0,2,189
3319,others,1350.0,2.0,47.25,3,211
3320,Electronic City Phase II,1219.0,2.0,61.26,2,66
3321,Kasavanhalli,1147.0,2.0,60.0,2,118
3322,Sarjapur  Road,1044.0,2.0,34.77,2,177
3323,Nagarbhavi,1190.0,2.0,63.0,2,154
3324,others,1240.0,2.0,65.0,3,211
3325,Jigani,1352.0,3.0,65.0,3,101
3326,others,1100.0,2.0,55.0,2,211
3327,Uttarahalli,1330.0,2.0,39.9,3,197
3328,Electronic City,1355.0,2.0,67.0,2,65
3329,Ramamurthy Nagar,1200.0,2.0,46.0,2,172
3330,Sarjapur  Road,1342.0,2.0,70.0,2,177
3331,Begur Road,1615.0,3.0,50.87,3,36
3332,others,1340.0,2.0,65.0,2,211
3333,Devanahalli,1080.0,2.0,52.0,2,58
